Community Center Resource Library Inventory		Updated July 31, 2014		
				
No.	Title	Author	Item	 Category
Autism & Asperger Related Resources				
1	A Parent's Guide to Understanding Sensory Integration	Sensory Integration International, Inc	Book	Sensory Integration
2	Building Bridges Through Sensory Integration	Ellen Yack, Paula Aquilla, & Shirley Sutton	Book	Sensory Integration
3	ART: basic for young children	Lila Lasky & Rose Mukerji-Bergeson	Book	Sensory Integration
4	Play & Imagination in Children with Autism	Pamela J. Wolfberg	Book	Sensory Integration
5	Asperger Syndrome and Sensory Issues	Brenda Smith Myles et. al.	Book	Sensory Integration
6	The Out-of-Sync Child	Carol Stock Kranowitz	Book	Sensory Integration
7	Talking Timer	N/A	Clock	Sensory Integration
8	Time Timer Watch Plus	N/A	Time Watch	Sensory Integration
9	Going Through an Airport	Special Education Service Agency (SESA)	DVD	DVD/Software materials
10	Going Through an Airport	Special Education Service Agency (SESA)	DVD	DVD/Software materials
11	Social Skills	Betsy Kruth	DVD	DVD/Software materials
12	Advocacy for Individuals on the Autism Spectrum 	Stephen Shore	DVD	DVD/Software materials
13	Classroom Strategies- VTC Disc 1 & 2	Susan Hepburn	DVD	DVD/Software materials
14	Tips for Toilet Training	Susan Hepburn	DVD	DVD/Software materials
15	Visual Strategies	Betsy Kruth	DVD	DVD/Software materials
16	Transitions Through the Lifespan	Valerie Paradiz	DVD	DVD/Software materials
17	Achieving Excellence For Alaska's Deaf & Hear of Hearing Students	The Arc of Anchorage	DVD	DVD/Software materials
18	My Next Steps A Parent's Guide to Understanding Autism	University of Washington Autism Center	DVD	DVD/Software materials
19	Activity Trainter/ Discrete Trail Trainer	accelerations educational software	CD	DVD/Software materials
20	Early Intervention & Autism	James Ball	Book	Resources for Professionals & Parents
21	Early Intervention & Autism	James Ball	Book	Resources for Professionals & Parents
22	Signs of Autism in Infants: Recognition and Early Intervention	Stella Acquarone	Book	Resources for Professionals & Parents
23	By the Ages: Behavior & Development in Children Pre-Birth through Eight	K. Eileen Allen & Lynn R. Marotz	Book	Resources for Professionals & Parents
24	brain rules baby	John Medina	Book	Resources for Professionals & Parents
26	1001 Great Idease for Teaching & Raising Children w/ Autism or Asperger's	Ellen Notbhm & Veronic Zysk	Book	Resources for Professionals & Parents
27	1001 Great Idease for Teaching & Raising Children w/ Autism or Asperger's	Ellen Notbhm & Veronic Zysk	Book	Resources for Professionals & Parents
28	The Smart Paren's Guide to Getting Your Kids Through Checkups, Illlnesses & Accidents	Jennifer Trachtenberg	Book	Resources for Professionals & Parents
